symbol,formattedExchange,qty,totalPLPercentChange,stockPrice,changeToday,ta1MinuteText,ta1DMinuteText,zacksRank
CTMX,NASDAQ,1,1.83%,14.5,0.28%,Sell,Buy,2
CSTL,NASDAQ,1,14.36%,36.88,13.48%,Sell,Buy,1
CODX,NASDAQ,1,8.45%,17.32,1.58%,Strong Sell,Buy,3
CLX,NYSE,1,0.49%,205.5,-0.15%,Sell,Buy,1
CGEN,NASDAQ,1,-3.77%,14.82,-4.88%,Sell,Buy,3
CBPO,NASDAQ,1,-1.45%,108.4,-1.15%,Sell,Sell,1
CALM,NASDAQ,1,-2.28%,43.23,0.64%,Sell,Buy,1
BWXT,NYSE,1,-4.18%,55.74,-4.51%,Sell,Buy,1
BTG,AMEX,1,-4.19%,5.26,0.96%,Sell,Buy,1
BSTC,NASDAQ,1,-2.07%,56.3,-3.55%,Sell,Buy,1
BJ,NYSE,1,0.71%,28.2,-0.18%,Strong Sell,Buy,1
BGS,NYSE,1,13.23%,23.8,10.39%,Strong Buy,Buy,1
BAND,NASDAQ,1,-0.02%,107.56,-2.13%,Sell,Buy,1
AU,NYSE,1,-3.36%,25.59,1.59%,Buy,Buy,1
ATXI,NASDAQ,1,-2.06%,9.5,-2.76%,Sell,Buy,1
ATHX,NASDAQ,1,5.46%,3.09,-5.50%,Sell,Buy,2
ARAV,NASDAQ,1,12.81%,13.47,-5.80%,Sell,Buy,3
AMCR,NYSE,1,2.47%,9.11,3.17%,Sell,Buy,1
ALBO,NASDAQ,1,0.15%,25.89,-2.82%,Sell,Buy,3
AHCO,NASDAQ,1,-0.30%,16.45,2.36%,Buy,Buy,3
AGI,NYSE,1,-0.85%,8.19,3.28%,Sell,Buy,2
AEYE,NASDAQ,1,9.88%,8.79,8.92%,Sell,Buy,1
