symbol,formattedExchange,qty,totalPLPercentChange,marketValue,changeToday,ta1MinuteText,ta1DMinuteText,zacksRank
SJM,NYSE,1,0.71%,116.9,0.71%,Sell,Buy,1
SMG,NYSE,1,-1.19%,137.79,-1.45%,Sell,Buy,2
SMH,NASDAQ,1,0.76%,136.72,0.05%,Sell,Strong Buy,1
SMTX,NASDAQ,1,-2.02%,3.39,4.31%,Buy,Strong Buy,1
SOXX,NASDAQ,1,0.70%,240.65,-0.16%,Sell,Strong Buy,1
SPWH,NASDAQ,1,2.62%,7.82,1.96%,Sell,Strong Buy,1
SPYG,AMEX,1,1.98%,42.15,1.27%,Strong Sell,Strong Buy,1
STKL,NASDAQ,1,4.23%,3.45,6.15%,Sell,Buy,1
TPTX,NASDAQ,1,1.34%,55.22,3.45%,Buy,Strong Buy,1
TW,NASDAQ,1,4.26%,61.12,5.05%,Sell,Strong Buy,1
TWLO,NYSE,1,3.66%,187,4.07%,Sell,Buy,1
TWST,NASDAQ,1,0.54%,39.21,0.20%,Strong Sell,Buy,1
UBX,NASDAQ,1,-1.10%,7.2,2.86%,Sell,Strong Buy,1
VGT,AMEX,1,1.28%,253,0.63%,Strong Sell,Strong Buy,1
VIRT,NASDAQ,1,0.58%,24.34,2.57%,Sell,Buy,1
VONG,NASDAQ,1,1.40%,183.16,0.81%,Sell,Strong Buy,1
VOOG,AMEX,1,1.80%,175.16,1.14%,Sell,Strong Buy,1
VOT,AMEX,1,1.51%,152.83,0.75%,Sell,Strong Buy,1
VRTX,NASDAQ,1,5.15%,286,5.29%,Sell,Strong Buy,1
VUG,AMEX,1,2.24%,187.95,1.56%,Strong Sell,Strong Buy,1
W,NYSE,1,2.60%,190.83,1.48%,Strong Sell,Buy,1
XLK,AMEX,1,1.07%,95.1,0.34%,Strong Sell,Strong Buy,1
XNTK,AMEX,1,1.62%,89.1,1.03%,Sell,Buy,1
XSD,AMEX,1,0.61%,102.77,-0.39%,Sell,Strong Buy,1
XSW,AMEX,1,0.89%,100.87,0.58%,Sell,Buy,1
ZYXI,NASDAQ,1,13.89%,21.64,16.78%,Buy,Buy,1
